source,target
<ATTRS>  <CONT_START> บุหรี่ไฟฟ้าประกันภัยแสนนึงพระเจ้า!!! <START>,<ATTRS>  <CONT_START> บุหรี่ไฟฟ้าประกันภัยแสนนึงพระเจ้า!!! <START> บุหรี่ไฟฟ้าประกันภัยแสนนึงพระเจ้า!!!
<ATTRS>  <CONT_START> เบียร์ลีโอขวดเป็นร้อยจริงหรอน.โหดไปปะ <START>,<ATTRS>  <CONT_START> เบียร์ลีโอขวดเป็นร้อยจริงหรอน.โหดไปปะ <START> เบียร์ลีโอขวดเป็นร้อยจริงหรอน.โหดไปปะ
<ATTRS> ▁เบื่อ <CONT_START> แล้วเบียร์ลีโอน.อยากกินนมลีโอมั่ง <START>,<ATTRS> ▁เบื่อ <CONT_START> แล้วเบียร์ลีโอน.อยากกินนมลีโอมั่ง <START> เบื่อแล้วเบียร์ลีโอน.อยากกินนมลีโอมั่ง
<ATTRS> ปวดท้องจะตาย <CONT_START> ยุ่ละผ้าอนามัยจะเยในไปไหน <START>,<ATTRS> ปวดท้องจะตาย <CONT_START> ยุ่ละผ้าอนามัยจะเยในไปไหน <START> ปวดท้องจะตายยุ่ละผ้าอนามัยจะเยในไปไหน
<ATTRS> น้ํา รั่ว ที่▁ปัญหา <CONT_START> น้ำรั่วที่คอนโดkeyneของแสนสิริ <START>,<ATTRS> น้ํา รั่ว ที่▁ปัญหา <CONT_START> น้ำรั่วที่คอนโดkeyneของแสนสิริ <START> ปัญหาน้ำรั่วที่คอนโดkeyneของแสนสิริ
<ATTRS> แล้ว ก็ยัง มิได้ <CONT_START> ป่านนี้ลิปอินนิสีฟรี😅 <START>,<ATTRS> แล้ว ก็ยัง มิได้ <CONT_START> ป่านนี้ลิปอินนิสีฟรี😅 <START> ป่านนี้แล้วก็ยังมิได้ลิปอินนิสีฟรี😅
<ATTRS> ขอ เลี่ยง สีอ้วก <CONT_START> ปีนี้เมออฟจ้าไม่คนเกพบ <START>,<ATTRS> ขอ เลี่ยง สีอ้วก <CONT_START> ปีนี้เมออฟจ้าไม่คนเกพบ <START> ปีนี้ขอเลี่ยงสีเมออฟจ้าไม่คนเกพบอ้วก
<ATTRS> ที่ไม่ <CONT_START> เป๊บซี่ความเป็นเป๊บซี่อ่ะเหรอ <START>,<ATTRS> ที่ไม่ <CONT_START> เป๊บซี่ความเป็นเป๊บซี่อ่ะเหรอ <START> เป๊บซี่ที่ไม่ความเป็นเป๊บซี่อ่ะเหรอ
<ATTRS>  <CONT_START> โปรมาสด้า2แต่รูปเป็นมาสด้า3งั้น <START>,<ATTRS>  <CONT_START> โปรมาสด้า2แต่รูปเป็นมาสด้า3งั้น <START> โปรมาสด้า2แต่รูปเป็นมาสด้า3งั้น
<ATTRS> ผ้าอนามัย ติด <CONT_START> ทุกอย่างยกเว้นกางเกงค่ะ <START>,<ATTRS> ผ้าอนามัย ติด <CONT_START> ทุกอย่างยกเว้นกางเกงค่ะ <START> ผ้าอนามัยติดทุกอย่างยกเว้นกางเกงค่ะ
<ATTRS> แบบ สอด ก็ใช้ ไม่เป็น <CONT_START> ผ้าอนามัยกลัว5 <START>,<ATTRS> แบบ สอด ก็ใช้ ไม่เป็น <CONT_START> ผ้าอนามัยกลัว5 <START> ผ้าอนามัยแบบสอดก็ใช้ไม่เป็นกลัว5
<ATTRS> ▁พอ <CONT_START> เถอะพี่ท่านถึงกันต้องเช่าชุดไปอีก <START>,<ATTRS> ▁พอ <CONT_START> เถอะพี่ท่านถึงกันต้องเช่าชุดไปอีก <START> พอเถอะพี่ท่านถึงกันต้องเช่าชุดไปอีก
<ATTRS> แพงไม่ อิ่ม <CONT_START> ค่ะน้ำจิ้มมีอย่างเดียวค่ะน. <START>,<ATTRS> แพงไม่ อิ่ม <CONT_START> ค่ะน้ำจิ้มมีอย่างเดียวค่ะน. <START> แพงค่ะน้ำจิ้มมีอย่างเดียวไม่อิ่มค่ะน.
<ATTRS> มาสด้า ก็ ลอก <CONT_START> หน้าตาเจ้าอื่นมาอีก5 <START>,<ATTRS> มาสด้า ก็ ลอก <CONT_START> หน้าตาเจ้าอื่นมาอีก5 <START> มาสด้าก็ลอกหน้าตาเจ้าอื่นมาอีก5
<ATTRS> เสีย <CONT_START> มิเตอร์5เบียร์ช้างขวดละ300 <START>,<ATTRS> เสีย <CONT_START> มิเตอร์5เบียร์ช้างขวดละ300 <START> มิเตอร์เสีย5เบียร์ช้างขวดละ300
<ATTRS> แพง <CONT_START> มีที่ถูกกว่านี้ปะอยากไปแต่ไปหน่อย <START>,<ATTRS> แพง <CONT_START> มีที่ถูกกว่านี้ปะอยากไปแต่ไปหน่อย <START> มีที่ถูกกว่านี้ปะอยากไปแต่แพงไปหน่อย
<ATTRS>  <CONT_START> มิใช่ไรนะเงินหมดแล้ว5 <START>,<ATTRS>  <CONT_START> มิใช่ไรนะเงินหมดแล้ว5 <START> มิใช่ไรนะเงินหมดแล้ว5
<ATTRS>  <CONT_START> ยอดตกแน่นิกสันนาวาร่า^^^ล้อเลียนนะครับ <START>,<ATTRS>  <CONT_START> ยอดตกแน่นิกสันนาวาร่า^^^ล้อเลียนนะครับ <START> ยอดตกแน่นิกสันนาวาร่า^^^ล้อเลียนนะครับ
<ATTRS> ปวดท้องเสีย <CONT_START> ยังอยุ่นิดทั้งอยู่บ้าง <START>,<ATTRS> ปวดท้องเสีย <CONT_START> ยังอยุ่นิดทั้งอยู่บ้าง <START> ยังปวดท้องอยุ่นิดทั้งเสียอยู่บ้าง
<ATTRS> แย่ <CONT_START> ผมเมาสปายาจุดจบสายขี้เมาแบบในในใน <START>,<ATTRS> แย่ <CONT_START> ผมเมาสปายาจุดจบสายขี้เมาแบบในในใน <START> แย่ผมเมาสปายาจุดจบสายขี้เมาแบบในในใน
<ATTRS> แย่มากแต่ แย่กว่า <CONT_START> รสชาตเหมือน285 <START>,<ATTRS> แย่มากแต่ แย่กว่า <CONT_START> รสชาตเหมือน285 <START> รสชาตแย่มากเหมือน285แต่แย่กว่า
<ATTRS> ราคาแพง <CONT_START> ไปเพิ่มอีกนิดซื้อมัมมี่กว่า <START>,<ATTRS> ราคาแพง <CONT_START> ไปเพิ่มอีกนิดซื้อมัมมี่กว่า <START> ราคาแพงไปเพิ่มอีกนิดซื้อมัมมี่กว่า
<ATTRS> แมลงสาบ <CONT_START> รีวิวการกินบาบีก้อนเดียวเจอ <START>,<ATTRS> แมลงสาบ <CONT_START> รีวิวการกินบาบีก้อนเดียวเจอ <START> รีวิวการกินบาบีก้อนเดียวเจอแมลงสาบ
<ATTRS> ไม่กิน <CONT_START> แล้วถ้าคนน้ำอัดลมก็เซลงดิ <START>,<ATTRS> ไม่กิน <CONT_START> แล้วถ้าคนน้ำอัดลมก็เซลงดิ <START> แล้วถ้าคนไม่กินน้ำอัดลมก็เซลงดิ
<ATTRS> แพง <CONT_START> เว่อละใครจะเช่าแบบนั้น2ใน3ร้อยก็มี <START>,<ATTRS> แพง <CONT_START> เว่อละใครจะเช่าแบบนั้น2ใน3ร้อยก็มี <START> เว่อละใครจะเช่าแพงแบบนั้น2ใน3ร้อยก็มี
<ATTRS>  <CONT_START> สิทธิ์ผู้บริโภคครับพ.ศ.เล่นกฎหมายกันไป <START>,<ATTRS>  <CONT_START> สิทธิ์ผู้บริโภคครับพ.ศ.เล่นกฎหมายกันไป <START> สิทธิ์ผู้บริโภคครับพ.ศ.เล่นกฎหมายกันไป
<ATTRS> เสียใจเดอะมอลล์ บางกะปิ ยุบ <CONT_START> สาขาไปแล้ว <START>,<ATTRS> เสียใจเดอะมอลล์ บางกะปิ ยุบ <CONT_START> สาขาไปแล้ว <START> เสียใจสาขาเดอะมอลล์บางกะปิยุบไปแล้ว
<ATTRS> อิเหี้ย <CONT_START> แสงสีหมดแล้วยังไม่เมาเลยเอ้ย <START>,<ATTRS> อิเหี้ย <CONT_START> แสงสีหมดแล้วยังไม่เมาเลยเอ้ย <START> แสงสีหมดแล้วยังไม่เมาเลยอิเหี้ยเอ้ย
<ATTRS> บาด หี <CONT_START> ใส่ผ้าอนามัยยังอ่ะเส้า <START>,<ATTRS> บาด หี <CONT_START> ใส่ผ้าอนามัยยังอ่ะเส้า <START> ใส่ผ้าอนามัยยังบาดหีอ่ะเส้า
<ATTRS>  <CONT_START> หายใจไม่ออกแล้วโว้ยดอยเทพหายไปแล้ว <START>,<ATTRS>  <CONT_START> หายใจไม่ออกแล้วโว้ยดอยเทพหายไปแล้ว <START> หายใจไม่ออกแล้วโว้ยดอยเทพหายไปแล้ว
<ATTRS> สิว ขึ้น <CONT_START> อยากใช้อินนิสีฟรีแต่กลัวโว้ยยย <START>,<ATTRS> สิว ขึ้น <CONT_START> อยากใช้อินนิสีฟรีแต่กลัวโว้ยยย <START> อยากใช้อินนิสีฟรีแต่กลัวสิวขึ้นโว้ยยย
<ATTRS> พัง <CONT_START> ออกกกำลังกายมีสี่วันเพราะบาบิก้อน <START>,<ATTRS> พัง <CONT_START> ออกกกำลังกายมีสี่วันเพราะบาบิก้อน <START> ออกกกำลังกายมีสี่วันพังเพราะบาบิก้อน
<ATTRS> เหี้ย <CONT_START> อี่ผ้าอนามัยแต่นี่เย็นมาก <START>,<ATTRS> เหี้ย <CONT_START> อี่ผ้าอนามัยแต่นี่เย็นมาก <START> อี่เหี้ยผ้าอนามัยแต่นี่เย็นมาก
<ATTRS> พอ <CONT_START> แอร์เอเชียได้ยินกูครั้งเดียวไว้ <START>,<ATTRS> พอ <CONT_START> แอร์เอเชียได้ยินกูครั้งเดียวไว้ <START> แอร์เอเชียได้ยินกูครั้งเดียวพอไว้
<ATTRS>  <CONT_START> ฮือขอละบาบีก้อนใช้เนื้อของที่ไหนเนี่ย <START>,<ATTRS>  <CONT_START> ฮือขอละบาบีก้อนใช้เนื้อของที่ไหนเนี่ย <START> ฮือขอละบาบีก้อนใช้เนื้อของที่ไหนเนี่ย
<ATTRS> แพง <CONT_START> ใน1คะอิ่มเพราะกระหาล่ำสั่งเยอะก้อ <START>,<ATTRS> แพง <CONT_START> ใน1คะอิ่มเพราะกระหาล่ำสั่งเยอะก้อ <START> ใน1คะอิ่มเพราะกระหาล่ำสั่งเยอะก้อแพง
<ATTRS>  <CONT_START> 299เองเอาเงินจากกินบาบีก้อนมาได้สบาย <START>,<ATTRS>  <CONT_START> 299เองเอาเงินจากกินบาบีก้อนมาได้สบาย <START> 299เองเอาเงินจากกินบาบีก้อนมาได้สบาย
<ATTRS> ห่วยแตก <CONT_START> appไปทำวางตลาดอย่างอื่นเยอะ <START>,<ATTRS> ห่วยแตก <CONT_START> appไปทำวางตลาดอย่างอื่นเยอะ <START> appห่วยแตกไปทำวางตลาดอย่างอื่นเยอะ
<ATTRS> ปัญหาฝา สูบ โก ่ง <CONT_START> ใน5mazda2ดีเซลน้ำดัน <START>,<ATTRS> ปัญหาฝา สูบ โก ่ง <CONT_START> ใน5mazda2ดีเซลน้ำดัน <START> ใน5mazda2ดีเซลปัญหาน้ำดันฝาสูบโก่ง
<ATTRS>  <CONT_START> ในในยูbeerพ.ศ.ขวดมันเล็กไปอ่ะน.ในubeer <START>,<ATTRS>  <CONT_START> ในในยูbeerพ.ศ.ขวดมันเล็กไปอ่ะน.ในubeer <START> ในในยูbeerพ.ศ.ขวดมันเล็กไปอ่ะน.ในubeer
<ATTRS> ตอแหล <CONT_START> กูยังเห็นมืงดูดอยู่เลยจะริมๆๆ <START>,<ATTRS> ตอแหล <CONT_START> กูยังเห็นมืงดูดอยู่เลยจะริมๆๆ <START> กูยังเห็นมืงดูดอยู่เลยตอแหลจะริมๆๆ
<ATTRS> ไม่ ซื้อ <CONT_START> กูว่าจะซื้อมาสด้า3ดีด่าแค่นี้ <START>,<ATTRS> ไม่ ซื้อ <CONT_START> กูว่าจะซื้อมาสด้า3ดีด่าแค่นี้ <START> กูว่าจะซื้อมาสด้า3ไม่ซื้อดีด่าแค่นี้
<ATTRS> ไข่ พยาธิ <CONT_START> ขนาดบาบีก้อนโว้ยยาที่เคยเล่าอะ <START>,<ATTRS> ไข่ พยาธิ <CONT_START> ขนาดบาบีก้อนโว้ยยาที่เคยเล่าอะ <START> ขนาดบาบีก้อนโว้ยยาที่เคยเล่าไข่พยาธิอะ
<ATTRS> หงุดหงิด <CONT_START> ขอร้านเหล้าปีนี้เบียร์ช้างมาก <START>,<ATTRS> หงุดหงิด <CONT_START> ขอร้านเหล้าปีนี้เบียร์ช้างมาก <START> ขอร้านเหล้าปีนี้หงุดหงิดเบียร์ช้างมาก
<ATTRS> เสียดาย <CONT_START> ข้ายิ่งนักมิน่ากลับหัวเมืองเลย <START>,<ATTRS> เสียดาย <CONT_START> ข้ายิ่งนักมิน่ากลับหัวเมืองเลย <START> ข้าเสียดายยิ่งนักมิน่ากลับหัวเมืองเลย
<ATTRS> ค่าเช่า ชุด ก็แพงกว่า <CONT_START> 500ในล่ะปกติอีก555 <START>,<ATTRS> ค่าเช่า ชุด ก็แพงกว่า <CONT_START> 500ในล่ะปกติอีก555 <START> ค่าเช่าชุดก็500ในล่ะแพงกว่าปกติอีก555
<ATTRS> เผ็ด <CONT_START> คือว่าเซากินสิคุ้มค่าพบแพทย์บ่ค่ะ <START>,<ATTRS> เผ็ด <CONT_START> คือว่าเซากินสิคุ้มค่าพบแพทย์บ่ค่ะ <START> คือว่าเซากินเผ็ดสิคุ้มค่าพบแพทย์บ่ค่ะ
<ATTRS> เลว <CONT_START> จัยมาซื้ออินนิสีฟรีที่โตเกียว5 <START>,<ATTRS> เลว <CONT_START> จัยมาซื้ออินนิสีฟรีที่โตเกียว5 <START> จัยเลวมาซื้ออินนิสีฟรีที่โตเกียว5
<ATTRS> ไม่กิน <CONT_START> ดีน่ะที่เรดเพราะกินแต่สี่สิบ5 <START>,<ATTRS> ไม่กิน <CONT_START> ดีน่ะที่เรดเพราะกินแต่สี่สิบ5 <START> ดีน่ะที่ไม่กินเรดเพราะกินแต่สี่สิบ5
<ATTRS> เบื่อ <CONT_START> เดี๋ยวซื้อเอ็มเคไปฝากเผื่อข้าวผัด <START>,<ATTRS> เบื่อ <CONT_START> เดี๋ยวซื้อเอ็มเคไปฝากเผื่อข้าวผัด <START> เดี๋ยวซื้อเอ็มเคไปฝากเผื่อเบื่อข้าวผัด
<ATTRS> ▁ตํารวจ จับ คนจนปลอม <CONT_START> ตำรวจจับคนจนทำเบียร์ช้าง1500ลัง <START>,<ATTRS> ▁ตํารวจ จับ คนจนปลอม <CONT_START> ตำรวจจับคนจนทำเบียร์ช้าง1500ลัง <START> ตำรวจจับคนจนทำเบียร์ช้างปลอม1500ลัง
<ATTRS> คุ้มค่า ชุด มั้ย <CONT_START> แต่งไปกินครึ่งราคาจะอ่า <START>,<ATTRS> คุ้มค่า ชุด มั้ย <CONT_START> แต่งไปกินครึ่งราคาจะอ่า <START> แต่งไปกินครึ่งราคาจะคุ้มค่าชุดมั้ยอ่า
<ATTRS>  <CONT_START> ทำไมใช่ชีทำมารแกอีทูดี้แล้วร้อนหน้าในในใน <START>,<ATTRS>  <CONT_START> ทำไมใช่ชีทำมารแกอีทูดี้แล้วร้อนหน้าในในใน <START> ทำไมใช่ชีทำมารแกอีทูดี้แล้วร้อนหน้าในในใน
<ATTRS> แพ้ <CONT_START> ทำไมน้องเบบต้องเกิดมาลิป3ในด้วยคะ <START>,<ATTRS> แพ้ <CONT_START> ทำไมน้องเบบต้องเกิดมาลิป3ในด้วยคะ <START> ทำไมน้องเบบต้องเกิดมาแพ้ลิป3ในด้วยคะ
<ATTRS> ไม่กิน <CONT_START> บอนชอนกันมึงกูบาบีก้อนแล้ว <START>,<ATTRS> ไม่กิน <CONT_START> บอนชอนกันมึงกูบาบีก้อนแล้ว <START> บอนชอนกันมึงกูไม่กินบาบีก้อนแล้ว
<ATTRS> ปวด <CONT_START> บาบีก้อนนนแล้วขี้แต่ไม่พูด😒 <START>,<ATTRS> ปวด <CONT_START> บาบีก้อนนนแล้วขี้แต่ไม่พูด😒 <START> บาบีก้อนนนแล้วปวดขี้แต่ไม่พูด😒
<ATTRS> ▁เบื่อ <CONT_START> แล้วเด้อในbarbqplazarobinsonใน <START>,<ATTRS> ▁เบื่อ <CONT_START> แล้วเด้อในbarbqplazarobinsonใน <START> เบื่อแล้วเด้อในbarbqplazarobinsonใน
<ATTRS>  <CONT_START> แบบโอ๊ยแก่กล้ากินบาบีก้อนละอะ5 <START>,<ATTRS>  <CONT_START> แบบโอ๊ยแก่กล้ากินบาบีก้อนละอะ5 <START> แบบโอ๊ยแก่กล้ากินบาบีก้อนละอะ5
<ATTRS>  <CONT_START> ผ้าอนามัยมันชอบห่อตัวแล้วหนีบขนหลุดเลย <START>,<ATTRS>  <CONT_START> ผ้าอนามัยมันชอบห่อตัวแล้วหนีบขนหลุดเลย <START> ผ้าอนามัยมันชอบห่อตัวแล้วหนีบขนหลุดเลย
<ATTRS> ก็ไม่ควรเกลียด <CONT_START> เพื่อนบังคนเล่นเพื่อนใน <START>,<ATTRS> ก็ไม่ควรเกลียด <CONT_START> เพื่อนบังคนเล่นเพื่อนใน <START> เพื่อนบังคนก็ไม่ควรเล่นเพื่อนเกลียดใน
<ATTRS> โดน จราจร จับ <CONT_START> เพื่อนจากดูใบไถไป1000นึง <START>,<ATTRS> โดน จราจร จับ <CONT_START> เพื่อนจากดูใบไถไป1000นึง <START> เพื่อนจากดูใบโดนจราจรจับไถไป1000นึง
<ATTRS> แพ้ผ ด เต็ม หน้า <CONT_START> กานิเย่โฟมค่ะร้องห้ายยย <START>,<ATTRS> แพ้ผ ด เต็ม หน้า <CONT_START> กานิเย่โฟมค่ะร้องห้ายยย <START> แพ้กานิเย่โฟมค่ะร้องห้ายยยผดเต็มหน้า
<ATTRS> แพงกว่าแพง <CONT_START> กว่าporsche911อีก555เว่ออร์ <START>,<ATTRS> แพงกว่าแพง <CONT_START> กว่าporsche911อีก555เว่ออร์ <START> แพงกว่าporsche911อีก555แพงเว่ออร์
<ATTRS>  <CONT_START> ฟอร์จูนเนอร์สองคันภายหลังกูตากูบอดแน่ <START>,<ATTRS>  <CONT_START> ฟอร์จูนเนอร์สองคันภายหลังกูตากูบอดแน่ <START> ฟอร์จูนเนอร์สองคันภายหลังกูตากูบอดแน่
<ATTRS> เป็นปัญหา <CONT_START> ไฟรถฟอจูนเนอรถควรระดับชาติอ่ะ <START>,<ATTRS> เป็นปัญหา <CONT_START> ไฟรถฟอจูนเนอรถควรระดับชาติอ่ะ <START> ไฟรถฟอจูนเนอรถควรเป็นปัญหาระดับชาติอ่ะ
<ATTRS>  <CONT_START> เม็ดสาคูแถมจากบาบีก้อนช่วงโปรโมชั่นอะ <START>,<ATTRS>  <CONT_START> เม็ดสาคูแถมจากบาบีก้อนช่วงโปรโมชั่นอะ <START> เม็ดสาคูแถมจากบาบีก้อนช่วงโปรโมชั่นอะ
<ATTRS> พอเจ๊ง <CONT_START> ไม่นะมึงงงฮอททำไหมทองแม่ลงไปแล้ว <START>,<ATTRS> พอเจ๊ง <CONT_START> ไม่นะมึงงงฮอททำไหมทองแม่ลงไปแล้ว <START> ไม่นะมึงงงฮอทพอทำไหมทองแม่ลงเจ๊งไปแล้ว
<ATTRS> ▁ไม่ ห่าเชี่ย <CONT_START> กินฟูลงมูนเลยอหน.เสหยดท้องน <START>,<ATTRS> ▁ไม่ ห่าเชี่ย <CONT_START> กินฟูลงมูนเลยอหน.เสหยดท้องน <START> ไม่ห่ากินฟูลงมูนเลยอหน.เสหยดท้องเชี่ยน
<ATTRS> ไม่ จริงใจ <CONT_START> รัฐในการแก้ไขน.ห่วงผลประโยชน์ <START>,<ATTRS> ไม่ จริงใจ <CONT_START> รัฐในการแก้ไขน.ห่วงผลประโยชน์ <START> รัฐไม่จริงใจในการแก้ไขน.ห่วงผลประโยชน์
<ATTRS> แพงกว่า <CONT_START> รายถูกแน่นอนรีโว่ยังต้องจ่าย <START>,<ATTRS> แพงกว่า <CONT_START> รายถูกแน่นอนรีโว่ยังต้องจ่าย <START> รายถูกแน่นอนรีโว่ยังต้องจ่ายแพงกว่า
<ATTRS> พัฒนา ถอยหลัง <CONT_START> เราครับมิใช่พัฒนาเดิน <START>,<ATTRS> พัฒนา ถอยหลัง <CONT_START> เราครับมิใช่พัฒนาเดิน <START> เราพัฒนาถอยหลังครับมิใช่พัฒนาเดิน
<ATTRS> ปวดหัว <CONT_START> ลองไปแล้ว1ขวดคนตายทั้งนั้นน.ในมาก <START>,<ATTRS> ปวดหัว <CONT_START> ลองไปแล้ว1ขวดคนตายทั้งนั้นน.ในมาก <START> ลองไปแล้ว1ขวดคนตายทั้งนั้นน.ในปวดหัวมาก
<ATTRS> แต่ กลิ่น แรง <CONT_START> ลิปyslสีสวยไปเลยยอมแพ้ละ <START>,<ATTRS> แต่ กลิ่น แรง <CONT_START> ลิปyslสีสวยไปเลยยอมแพ้ละ <START> ลิปyslสีสวยแต่กลิ่นแรงไปเลยยอมแพ้ละ
<ATTRS> ▁เลิก <CONT_START> กินเถอะเอาเนื้อเป็นรองมาขายเนี่ย <START>,<ATTRS> ▁เลิก <CONT_START> กินเถอะเอาเนื้อเป็นรองมาขายเนี่ย <START> เลิกกินเถอะเอาเนื้อเป็นรองมาขายเนี่ย
<ATTRS> ไม่สวย <CONT_START> เลียนแบบนิกสันจุ๊ก.น.อะใครออกแบบ <START>,<ATTRS> ไม่สวย <CONT_START> เลียนแบบนิกสันจุ๊ก.น.อะใครออกแบบ <START> เลียนแบบนิกสันจุ๊ก.น.ไม่สวยอะใครออกแบบ
<ATTRS> อย่าขับ เร็วมันไม่ <CONT_START> อีโก้ในออสนะเกาะ <START>,<ATTRS> อย่าขับ เร็วมันไม่ <CONT_START> อีโก้ในออสนะเกาะ <START> อีโก้ในออสนะอย่าขับเร็วมันไม่เกาะ
<ATTRS> สัด <CONT_START> สงสัยต้องลาขาดจากช้างกินที่แฮงค์ <START>,<ATTRS> สัด <CONT_START> สงสัยต้องลาขาดจากช้างกินที่แฮงค์ <START> สงสัยต้องลาขาดจากช้างกินที่แฮงค์สัด
<ATTRS>  <CONT_START> สมัยนี้เด็กอายุน้อยแต่สูงมีเยอะไปอดเลย <START>,<ATTRS>  <CONT_START> สมัยนี้เด็กอายุน้อยแต่สูงมีเยอะไปอดเลย <START> สมัยนี้เด็กอายุน้อยแต่สูงมีเยอะไปอดเลย
<ATTRS> ▁เสียง <CONT_START> แหบกับsmirnoffที่แล้วบ๊วย <START>,<ATTRS> ▁เสียง <CONT_START> แหบกับsmirnoffที่แล้วบ๊วย <START> เสียงแหบกับsmirnoffที่แล้วบ๊วย
<ATTRS> เหี้ยไร <CONT_START> แสงสว่างแสงสีเหล้าไม่สู้อีกก <START>,<ATTRS> เหี้ยไร <CONT_START> แสงสว่างแสงสีเหล้าไม่สู้อีกก <START> แสงสว่างแสงสีเหล้าเหี้ยไรไม่สู้อีกก
<ATTRS>  <CONT_START> ใส่ผ้าอนามัยนั่งจนตูดเป็นแดนละอ่ะโหงว <START>,<ATTRS>  <CONT_START> ใส่ผ้าอนามัยนั่งจนตูดเป็นแดนละอ่ะโหงว <START> ใส่ผ้าอนามัยนั่งจนตูดเป็นแดนละอ่ะโหงว
<ATTRS> ไม่ hot pot <CONT_START> ฉากใหญ่แล้วจะกินยังไง <START>,<ATTRS> ไม่ hot pot <CONT_START> ฉากใหญ่แล้วจะกินยังไง <START> ฉากใหญ่ไม่hotpotแล้วจะกินยังไง
<ATTRS> เหี้ยจะไม่ <CONT_START> เหล้าเบลลงรสชาติสุดแดกอีกละ <START>,<ATTRS> เหี้ยจะไม่ <CONT_START> เหล้าเบลลงรสชาติสุดแดกอีกละ <START> เหล้าเบลลงรสชาติเหี้ยสุดจะไม่แดกอีกละ
<ATTRS> แพงกว่า <CONT_START> เหรอค่าเช่าชุดน่าค่าอาหาร <START>,<ATTRS> แพงกว่า <CONT_START> เหรอค่าเช่าชุดน่าค่าอาหาร <START> เหรอค่าเช่าชุดน่าแพงกว่าค่าอาหาร
<ATTRS>  <CONT_START> เอ้าเพิ่งรู้ว่าhondaขายไม่ในญี่ปุ่น <START>,<ATTRS>  <CONT_START> เอ้าเพิ่งรู้ว่าhondaขายไม่ในญี่ปุ่น <START> เอ้าเพิ่งรู้ว่าhondaขายไม่ในญี่ปุ่น
<ATTRS>  <CONT_START> 950ฟอร์จูนเนอร์ไม่รวมนาวาร่าที่ป้าแกทุบ <START>,<ATTRS>  <CONT_START> 950ฟอร์จูนเนอร์ไม่รวมนาวาร่าที่ป้าแกทุบ <START> 950ฟอร์จูนเนอร์ไม่รวมนาวาร่าที่ป้าแกทุบ
<ATTRS> หลอกลวง <CONT_START> กูนึกว่าบลัชเดอะเฟสช็อปน.กระทืบ <START>,<ATTRS> หลอกลวง <CONT_START> กูนึกว่าบลัชเดอะเฟสช็อปน.กระทืบ <START> กูนึกว่าบลัชเดอะเฟสช็อปหลอกลวงน.กระทืบ
<ATTRS> พังไม่คุ้ม <CONT_START> กูว่าเอ็มเคไม่พวกเรากินน้อย <START>,<ATTRS> พังไม่คุ้ม <CONT_START> กูว่าเอ็มเคไม่พวกเรากินน้อย <START> กูว่าเอ็มเคไม่พังพวกเรากินน้อยไม่คุ้ม
<ATTRS> มัลติ ไม่น่า หวัง <CONT_START> เครื่องหากว่านี้ได้ <START>,<ATTRS> มัลติ ไม่น่า หวัง <CONT_START> เครื่องหากว่านี้ได้ <START> เครื่องมัลติไม่น่าหวังหากว่านี้ได้
<ATTRS> แพงเปลือง <CONT_START> แดกเป็นแต่หงส์285ของมัน555ใน <START>,<ATTRS> แพงเปลือง <CONT_START> แดกเป็นแต่หงส์285ของมัน555ใน <START> แดกเป็นแต่หงส์285ของแพงมันเปลือง555ใน
<ATTRS> เสือก <CONT_START> แดดอุ่นขั้นร้อนกับคออ่อนๆๆแดกลีโอ <START>,<ATTRS> เสือก <CONT_START> แดดอุ่นขั้นร้อนกับคออ่อนๆๆแดกลีโอ <START> แดดอุ่นขั้นร้อนกับคออ่อนๆๆเสือกแดกลีโอ
<ATTRS> เบื่อ <CONT_START> ทำไมอ่ะพจน์ไม่หรอกินละครั้น555 <START>,<ATTRS> เบื่อ <CONT_START> ทำไมอ่ะพจน์ไม่หรอกินละครั้น555 <START> ทำไมอ่ะพจน์ไม่หรอกินเบื่อละครั้น555
<ATTRS> ปัญหาหมด <CONT_START> นมเจ้าฉันกับเธอตั้งกี่บาทแล้วใน <START>,<ATTRS> ปัญหาหมด <CONT_START> นมเจ้าฉันกับเธอตั้งกี่บาทแล้วใน <START> นมเจ้าปัญหาฉันหมดกับเธอตั้งกี่บาทแล้วใน
<ATTRS> เป็น ห่าเบื่อฉิบหาย <CONT_START> เนตไรวะหลุดๆๆมาๆๆ2วันละ <START>,<ATTRS> เป็น ห่าเบื่อฉิบหาย <CONT_START> เนตไรวะหลุดๆๆมาๆๆ2วันละ <START> เนตเป็นห่าไรวะหลุดๆๆมาๆๆ2วันละเบื่อฉิบหาย
<ATTRS> เลิก <CONT_START> เบียร์ลีโอช้างสิงห์ซัดเกอร์ <START>,<ATTRS> เลิก <CONT_START> เบียร์ลีโอช้างสิงห์ซัดเกอร์ <START> เบียร์ลีโอช้างสิงห์เลิกซัดเกอร์
<ATTRS> เถื่อน <CONT_START> พกปืนโทษยังน้อยหน่าบุหรี่ไฟฟ้าอีก <START>,<ATTRS> เถื่อน <CONT_START> พกปืนโทษยังน้อยหน่าบุหรี่ไฟฟ้าอีก <START> พกปืนเถื่อนโทษยังน้อยหน่าบุหรี่ไฟฟ้าอีก
